"city_name","city_slug","description","zone_id (ref)","postal_codes","primary_latitude","primary_longitude","geom","is_active","is_ai_visible","is_featured"
"Lahaina","lahaina","Historic port town and former capital of the Hawaiian Kingdom (impacted by 2023 fires).","west-maui","96761","20.878","-156.683","POINT(-156.683 20.878)","TRUE","TRUE","TRUE"
"Kihei","kihei","Bustling beach town with condos, beach parks, and consistent sunny weather.","south-maui","96753","20.764","-156.445","POINT(-156.445 20.764)","TRUE","TRUE","TRUE"
"Wailuku","wailuku","Historic county seat nestled at the base of the West Maui Mountains, known for local boutiques.","central-maui","96793","20.891","-156.505","POINT(-156.505 20.891)","TRUE","TRUE","FALSE"
"Kahului","kahului","The island's main commercial center, hosting the airport, harbor, and big-box retail.","central-maui","96732","20.889","-156.472","POINT(-156.472 20.889)","TRUE","TRUE","FALSE"
"Paia","paia","Eclectic surf town with colorful storefronts, health food stores, and art galleries.","north-shore","96779","20.916","-156.380","POINT(-156.380 20.916)","TRUE","TRUE","TRUE"
"Haiku","haiku","Lush, rural community on the rainy windward side, known for jungle valleys and privacy.","north-shore","96708","20.920","-156.325","POINT(-156.325 20.920)","TRUE","TRUE","FALSE"
"Hana","hana","Isolated, traditional town at the end of the Hana Highway, steeped in Hawaiian culture.","east-maui-hana","96713","20.758","-155.988","POINT(-155.988 20.758)","TRUE","TRUE","TRUE"
"Makawao","makawao","Historic paniolo (cowboy) town with a vibrant arts scene and rustic architecture.","upcountry","96768","20.857","-156.315","POINT(-156.315 20.857)","TRUE","TRUE","TRUE"
"Kula","kula","Rustic agricultural district on the upper slopes of Haleakalā, known for protea farms and views.","upcountry","96790","20.792","-156.326","POINT(-156.326 20.792)","TRUE","TRUE","TRUE"
"Pukalani","pukalani","""Hole in the Heavens,"" a residential golf community serving as a gateway to Upcountry.","upcountry","96768","20.839","-156.343","POINT(-156.343 20.839)","TRUE","TRUE","FALSE"
